date,hour,elspot_DK1,elspot_DK2,elbas_DK1,elbas_DK2
01-01-2013,00,1199.8,1242.9,0.0,0.0
01-01-2013,01,1192.3,1191.5,0.0,0.0
01-01-2013,02,1194.9,1136.5,0.0,0.0
01-01-2013,03,1212.9,1082.6,0.0,0.0
01-01-2013,04,1216.1,1034.5,0.0,0.0
01-01-2013,05,1290.7,1024.1,0.0,0.0
01-01-2013,06,1361.7,1062.7,75.0,0.0
01-01-2013,07,1477.4,1099.1,100.0,0.0
01-01-2013,08,1530.3,1129.9,75.0,0.0
01-01-2013,09,1662.7,1205.6,0.0,0.0
01-01-2013,10,1754.6,1291.0,0.0,0.0
01-01-2013,11,1805.6,1351.7,0.0,50.0
01-01-2013,12,1788.8,1384.8,0.0,50.0
01-01-2013,13,1748.9,1390.9,0.0,50.0
01-01-2013,14,1698.0,1400.5,0.0,59.0
01-01-2013,15,1703.2,1447.0,0.0,80.0
01-01-2013,16,1881.4,1617.2,0.0,30.0
01-01-2013,17,2113.5,1733.8,164.0,62.0
01-01-2013,18,2557.0,2311.6,0.0,30.0
01-01-2013,19,2565.5,2209.9,152.0,0.8
01-01-2013,20,1716.6,1519.7,1.0,37.7
01-01-2013,21,1546.7,1416.7,0.0,40.0
01-01-2013,22,1411.7,1316.2,70.0,6.0
01-01-2013,23,1310.7,1208.4,15.0,0.0
02-01-2013,00,1270.5,1102.9,15.0,0.0
02-01-2013,01,1238.1,1040.6,15.0,0.0
02-01-2013,02,1204.0,1008.9,0.0,0.0
02-01-2013,03,1197.1,1011.3,0.0,0.0
02-01-2013,04,1218.7,1027.5,0.0,0.0
02-01-2013,05,1352.4,1113.4,0.0,0.0
02-01-2013,06,1751.1,1393.0,263.5,0.0
02-01-2013,07,2678.5,2259.5,0.5,0.0
02-01-2013,08,2997.0,2369.6,0.0,0.0
02-01-2013,09,2948.0,2394.3,0.0,0.0
02-01-2013,10,2927.7,2419.7,0.0,0.0
02-01-2013,11,2837.9,2419.7,0.0,0.0
02-01-2013,12,2727.8,2395.4,0.0,0.0
02-01-2013,13,2656.7,2389.7,0.0,15.0
02-01-2013,14,2637.4,2365.9,0.0,0.0
02-01-2013,15,2598.9,2352.1,0.0,0.0
02-01-2013,16,2752.7,2476.5,0.0,0.0
02-01-2013,17,3069.3,2623.8,0.0,0.0
02-01-2013,18,2971.3,2543.0,0.0,25.0
02-01-2013,19,2809.4,2406.5,0.0,0.0
02-01-2013,20,2575.1,2269.5,0.0,0.0
02-01-2013,21,2314.8,2146.0,0.0,0.0
02-01-2013,22,2092.9,1998.6,0.0,0.0
02-01-2013,23,1459.6,1261.5,0.0,0.0
03-01-2013,00,1176.0,1113.9,0.0,0.0
03-01-2013,01,1126.2,1054.3,0.0,0.0
03-01-2013,02,1082.0,1027.4,0.0,0.0
03-01-2013,03,1065.4,1021.4,0.0,0.0
03-01-2013,04,1105.5,1039.3,0.0,0.0
03-01-2013,05,1244.2,1129.8,0.0,0.0
03-01-2013,06,1559.2,1425.6,0.0,0.0
03-01-2013,07,2042.7,1731.3,7.0,0.0
03-01-2013,08,2164.0,1846.1,0.0,0.0
03-01-2013,09,2495.6,2128.5,0.0,147.0
03-01-2013,10,2424.1,2473.1,0.0,50.0
03-01-2013,11,2389.9,2456.3,0.0,50.0
03-01-2013,12,2317.5,2434.4,0.0,0.0
03-01-2013,13,2313.8,2431.6,0.0,0.0
03-01-2013,14,2271.2,2404.0,0.4,100.0
03-01-2013,15,2218.5,2404.6,0.6,0.0
03-01-2013,16,2317.6,2532.7,0.0,0.0
03-01-2013,17,2480.4,2671.4,0.0,0.0
03-01-2013,18,2385.3,2585.0,0.0,0.0
03-01-2013,19,2250.9,2447.0,0.7,0.0
03-01-2013,20,2057.0,2305.6,0.0,0.0
03-01-2013,21,1933.9,2167.6,11.0,0.0
03-01-2013,22,1764.1,1683.1,7.0,0.0
03-01-2013,23,1257.4,1299.2,0.0,0.0
04-01-2013,00,1124.6,1129.3,0.0,0.0
04-01-2013,01,1138.6,1076.3,0.0,0.0
04-01-2013,02,1179.5,1049.2,0.0,0.0
04-01-2013,03,1167.9,1047.9,0.0,0.0
04-01-2013,04,1235.4,1065.4,0.0,0.0
04-01-2013,05,1362.4,1159.4,10.0,0.0
04-01-2013,06,1741.7,1431.6,428.0,10.0
04-01-2013,07,2383.2,2336.6,100.5,0.0
04-01-2013,08,2809.2,2440.3,10.0,10.0
04-01-2013,09,2767.6,2464.7,10.0,10.0
04-01-2013,10,2764.6,2475.1,0.0,0.0
04-01-2013,11,2680.5,2468.7,0.0,50.0
04-01-2013,12,2501.7,2427.9,0.0,50.0
04-01-2013,13,2385.7,2402.2,0.0,50.0
04-01-2013,14,2314.6,1841.4,40.0,150.0
04-01-2013,15,2097.6,1789.3,92.0,46.0
04-01-2013,16,2351.7,2401.8,0.0,42.0
04-01-2013,17,2475.2,2623.7,0.0,25.0
04-01-2013,18,2375.5,2546.1,0.0,25.0
04-01-2013,19,2188.7,2394.6,0.7,25.0
04-01-2013,20,1992.3,2245.8,50.0,25.0
04-01-2013,21,1935.6,1925.0,0.0,25.0
04-01-2013,22,1660.0,1437.1,7.0,175.0
04-01-2013,23,1311.2,1305.5,0.0,25.0
05-01-2013,00,1117.9,1125.4,30.0,15.0
05-01-2013,01,1073.3,1048.4,60.1,35.0
05-01-2013,02,1036.7,1007.5,25.0,3.0
05-01-2013,03,1065.3,994.1,34.0,10.0
05-01-2013,04,1081.6,999.9,62.0,60.0
05-01-2013,05,1196.2,1026.0,35.0,60.0
05-01-2013,06,1384.7,1072.7,0.0,60.0
05-01-2013,07,1715.9,1224.0,0.0,50.0
05-01-2013,08,1958.1,1375.8,0.0,50.0
05-01-2013,09,2543.9,2081.8,0.0,0.0
05-01-2013,10,2794.0,2161.6,0.0,0.0
05-01-2013,11,2762.7,2187.0,0.0,60.0
05-01-2013,12,2705.4,2178.0,40.0,31.0
05-01-2013,13,2652.7,2123.8,50.0,90.0
05-01-2013,14,2395.1,2092.7,130.0,139.0
05-01-2013,15,2657.2,2171.4,50.0,120.0
05-01-2013,16,2850.1,2300.7,60.0,60.0
05-01-2013,17,3003.7,2432.1,61.0,0.0
05-01-2013,18,2920.5,2363.7,75.0,100.0
05-01-2013,19,2720.5,2214.8,60.0,150.0
05-01-2013,20,2544.0,2125.2,60.0,90.0
05-01-2013,21,2367.7,2022.4,50.0,100.0
05-01-2013,22,2208.8,1923.5,40.0,100.0
05-01-2013,23,2077.9,1822.4,11.0,90.0
06-01-2013,00,1366.8,1116.9,15.0,0.0
06-01-2013,01,1220.9,1039.2,16.5,0.0
06-01-2013,02,1104.7,993.8,0.0,0.0
06-01-2013,03,1052.7,971.4,54.0,0.0
06-01-2013,04,1050.4,965.6,54.0,0.0
06-01-2013,05,1094.8,983.4,0.0,0.0
06-01-2013,06,1231.8,1035.6,0.0,0.0
06-01-2013,07,1385.9,1143.3,10.0,0.0
06-01-2013,08,1549.4,1256.9,0.0,0.0
06-01-2013,09,1645.7,1378.0,0.0,0.0
06-01-2013,10,1661.8,1454.8,54.6,0.0
06-01-2013,11,2198.5,1725.0,0.0,0.0
06-01-2013,12,2115.7,1487.9,0.0,0.0
06-01-2013,13,1577.5,1480.7,0.0,0.0
06-01-2013,14,1586.0,1467.8,0.0,0.0
06-01-2013,15,1629.0,1496.3,40.0,0.0
06-01-2013,16,1848.5,1647.7,10.0,0.0
06-01-2013,17,2164.0,1826.9,21.0,0.0
06-01-2013,18,2625.1,2043.7,10.4,0.0
06-01-2013,19,2782.2,2276.1,30.0,1.4
06-01-2013,20,2675.3,2126.8,30.0,35.0
06-01-2013,21,2632.4,1442.9,80.0,20.0
06-01-2013,22,2676.7,1885.9,30.0,0.0
06-01-2013,23,1613.8,1165.2,30.0,0.0
07-01-2013,00,1613.7,1114.4,0.0,0.0
07-01-2013,01,1533.5,1051.8,0.0,0.0
07-01-2013,02,1490.6,1025.4,0.0,0.0
07-01-2013,03,1490.2,1025.0,0.0,0.0
07-01-2013,04,1582.4,1063.3,0.0,0.0
07-01-2013,05,1766.5,1158.6,0.0,0.0
07-01-2013,06,2699.6,2041.6,0.0,0.0
07-01-2013,07,3614.1,2157.6,150.0,40.0
07-01-2013,08,3763.7,2253.8,0.0,30.0
07-01-2013,09,3798.8,2263.9,0.0,60.0
07-01-2013,10,3819.0,2269.0,0.0,34.0
07-01-2013,11,3807.4,2279.0,0.0,45.0
07-01-2013,12,3783.4,2301.5,9.0,59.0
07-01-2013,13,3783.4,2284.1,12.0,70.0
07-01-2013,14,3757.3,2300.6,16.0,50.0
07-01-2013,15,3712.8,2369.2,18.0,105.0
07-01-2013,16,3818.7,2298.2,49.7,140.0
07-01-2013,17,3746.9,2463.0,50.0,140.0
07-01-2013,18,3441.7,2554.4,5.9,80.0
07-01-2013,19,3227.9,2411.7,5.9,150.0
07-01-2013,20,3028.6,2273.8,20.0,20.0
07-01-2013,21,2821.3,2142.8,15.0,0.0
07-01-2013,22,2649.4,2008.9,10.0,0.0
07-01-2013,23,2481.9,1855.7,15.0,0.0
08-01-2013,00,1670.0,1118.0,0.0,0.0
08-01-2013,01,1901.4,1060.9,0.0,0.0
08-01-2013,02,1613.1,1395.3,0.0,0.0
08-01-2013,03,1885.4,1019.9,0.0,0.0
08-01-2013,04,1621.2,1049.0,0.0,0.0
08-01-2013,05,1765.9,1142.8,0.0,0.0
08-01-2013,06,2933.7,2025.4,1.0,0.0
08-01-2013,07,3257.0,2354.4,16.0,0.0
08-01-2013,08,3377.1,2443.9,0.0,0.0
08-01-2013,09,3367.2,2464.0,11.9,30.0
08-01-2013,10,3406.3,2491.8,21.9,0.0
08-01-2013,11,3384.5,2476.4,63.9,0.0
08-01-2013,12,3326.1,2410.7,3.9,49.1
08-01-2013,13,3367.1,2408.9,0.0,0.0
08-01-2013,14,3337.4,2392.1,0.0,0.0
08-01-2013,15,3317.0,2387.2,4.4,55.0
08-01-2013,16,3437.8,2484.5,3.9,94.1
08-01-2013,17,3651.2,2524.3,20.0,0.0
08-01-2013,18,3503.7,2619.8,23.9,0.0
08-01-2013,19,3314.1,2466.0,33.0,0.0
08-01-2013,20,2976.6,2337.8,0.0,0.0
08-01-2013,21,2768.0,2208.8,0.0,0.0
08-01-2013,22,2572.0,2069.4,0.0,0.0
08-01-2013,23,1723.6,1344.1,0.0,0.0
09-01-2013,00,2306.5,1715.5,0.4,0.0
09-01-2013,01,2059.1,1063.2,0.0,0.0
